sample_no,date,location,depth,swc,ctot,ntot,ptot,eoc,en,olsenp,cmic,nmic,pmic,bg,nag,ap
FACE_234,7/6/2016,360_II,5-15,26.79,,,,,,0.84,,,2.22,22.94,145.06,4368.26
FACE_235,7/6/2016,360_III,0-5 ,33.91,,,,,,1.94,,,5.37,147.37,215.86,7001.07
FACE_236,7/6/2016,360_III,5-15,28.28,,,,,,1.06,,,3.43,25.02,93.08,4361.33
FACE_237,7/6/2016,440_I,0-5 ,32.96,,,,,,2.02,,,4.63,45.36,309.31,6501.38
FACE_238,7/6/2016,440_I,5-15,28.59,,,,,,1.14,,,2.07,11.41,62.42,3925.88
FACE_239,7/6/2016,440_II,0-5 ,28.58,,,,,,1.29,,,4.25,53.61,468.47,6364.60
FACE_240,7/6/2016,440_II,5-15,26.25,,,,,,1.43,,,2.83,76.14,148.58,2775.57
FACE_241,7/6/2016,440_III,0-5 ,26.27,,,,,,1.32,,,3.99,47.03,206.24,6343.25
FACE_242,7/6/2016,440_III,5-15,25.53,,,,,,1.05,,,1.74,24.71,112.23,4125.23
FACE_243,8/15/2016,40_I,0-5 ,32.35,,,117.19,604.11,127.62,1.33,735.54,48.37,2.06,31.91,169.65,4958.60
FACE_244,8/15/2016,40_I,5-15,27.06,,,108.52,,,0.88,,,,10.51,128.05,6467.88
FACE_245,8/15/2016,40_II,0-5 ,35.99,,,144.32,738.69,153.54,4.75,955.19,46.47,0.34,61.00,331.99,6495.91
FACE_246,8/15/2016,40_II,5-15,26.13,,,104.18,452.62,89.14,1.43,566.81,27.03,,21.82,62.46,2942.26
FACE_247,8/15/2016,40_III,0-5 ,39.20,,,133.48,723.73,162.79,3.07,867.74,49.07,1.86,78.70,427.15,9424.43
FACE_248,8/15/2016,40_III,5-15,27.64,,,102.00,467.55,95.17,0.18,667.65,47.36,0.24,22.59,57.61,2661.56
FACE_249,8/15/2016,120_I,0-5 ,32.02,,,124.79,623.18,125.16,0.61,1294.72,112.04,7.49,40.07,478.83,5586.39
FACE_250,8/15/2016,120_I,5-15,26.58,,,108.52,514.31,103.12,1.12,633.39,44.55,,15.92,92.67,3996.96
FACE_251,8/15/2016,120_II,0-5 ,29.73,,,119.37,590.69,151.18,1.46,715.66,,2.67,59.72,206.93,6298.86
FACE_252,8/15/2016,120_II,5-15,27.48,,,98.75,464.61,95.19,1.07,959.03,90.19,1.44,16.26,48.70,3346.66
FACE_253,8/15/2016,120_III,0-5 ,32.44,,,255.01,644.89,138.29,1.08,1092.53,91.43,2.76,89.37,372.79,7867.61
FACE_254,8/15/2016,120_III,5-15,25.57,,,116.11,499.70,94.43,0.51,527.01,25.70,,29.53,92.54,3940.48
FACE_255,8/15/2016,200_I,0-5 ,35.99,,,151.93,685.95,159.68,4.36,956.36,87.23,3.46,61.52,329.51,7738.91
FACE_256,8/15/2016,200_I,5-15,28.94,,,116.11,446.88,91.65,0.89,565.83,29.62,0.63,19.95,50.48,3490.56
FACE_257,8/15/2016,200_II,0-5 ,33.39,,,136.73,582.16,126.18,2.15,904.44,66.01,6.52,54.40,285.90,6506.07
FACE_258,8/15/2016,200_II,5-15,27.57,,,119.37,476.38,101.72,0.68,576.96,41.71,3.69,16.21,61.44,3943.50
FACE_259,8/15/2016,200_III,0-5 ,33.13,,,104.18,556.36,154.85,1.48,809.27,34.86,0.73,40.35,92.07,4417.72
FACE_260,8/15/2016,200_III,5-15,27.01,,,102.00,429.62,100.75,0.28,508.63,31.13,0.10,24.66,42.62,3703.37
FACE_261,8/15/2016,280_I,0-5 ,52.80,,,144.32,808.30,172.09,3.32,1271.04,94.63,1.19,102.13,354.41,6035.99
FACE_262,8/15/2016,280_I,5-15,27.57,,,100.92,433.79,88.83,0.46,476.37,42.86,0.22,89.20,75.30,2926.78
FACE_263,8/15/2016,280_II,0-5 ,29.96,,,146.49,474.12,114.16,0.83,658.13,54.40,6.05,58.76,75.99,4094.21
FACE_264,8/15/2016,280_II,5-15,27.30,,,113.94,444.36,98.62,0.46,315.79,16.05,0.50,26.28,64.90,3355.10
FACE_265,8/15/2016,280_III,0-5 ,28.43,,,184.48,440.97,103.09,1.04,538.54,83.62,3.15,48.96,120.10,5540.06
FACE_266,8/15/2016,280_III,5-15,26.28,,,168.20,436.85,101.41,0.35,527.59,45.26,3.24,38.96,58.25,6391.33
FACE_267,8/15/2016,360_I,0-5 ,29.56,,,144.32,447.43,142.93,1.28,889.99,72.32,1.99,112.35,297.56,5629.89
FACE_268,8/15/2016,360_I,5-15,26.89,,,100.92,428.71,106.72,,509.87,46.76,2.31,27.44,55.82,4009.23
FACE_269,8/15/2016,360_II,0-5 ,30.86,,,116.11,502.02,119.75,1.22,656.12,67.92,1.42,51.55,202.99,5044.82
FACE_270,8/15/2016,360_II,5-15,26.29,,,103.09,415.98,94.66,0.41,532.14,57.01,0.37,51.12,98.69,5028.81
FACE_271,8/15/2016,360_III,0-5 ,32.92,,,137.82,592.89,144.00,5.03,845.29,60.55,1.45,77.26,177.67,6387.35
FACE_272,8/15/2016,360_III,5-15,27.11,,,112.86,512.70,111.15,0.40,427.79,22.91,1.00,31.00,129.64,4261.90
FACE_273,8/15/2016,440_I,0-5 ,32.67,,,134.56,604.58,126.16,2.48,873.86,61.35,2.08,28.17,137.97,6094.92
FACE_274,8/15/2016,440_I,5-15,25.73,,,94.41,361.72,67.38,0.19,434.67,44.05,0.08,22.27,62.75,3869.97
FACE_275,8/15/2016,440_II,0-5 ,34.73,,,149.76,657.18,119.65,0.54,1024.21,78.89,1.96,64.52,472.78,8253.90
FACE_276,8/15/2016,440_II,5-15,26.98,,,125.88,560.75,103.35,0.54,499.03,35.62,1.02,236.53,253.90,4690.27
FACE_277,8/15/2016,440_III,0-5 ,29.09,,,107.43,427.24,94.30,0.43,755.00,72.16,0.89,46.47,222.04,5215.10
FACE_278,8/15/2016,440_III,5-15,25.75,,,92.24,400.90,87.42,0.08,503.22,36.27,1.41,32.56,120.19,4412.18
FACE_279,9/12/2016,40_I,0-5 ,33.04,,,,,,0.75,,,0.38,20.47,87.28,3562.33
FACE_280,9/12/2016,40_I,5-15,28.18,,,,,,0.47,,,,7.88,29.61,2525.98
FACE_281,9/12/2016,40_II,0-5 ,40.03,,,,,,2.74,,,2.79,69.00,425.29,10717.83
FACE_282,9/12/2016,40_II,5-15,29.65,,,,,,0.75,,,0.09,22.83,51.24,3404.94
FACE_283,9/12/2016,40_III,0-5 ,37.78,,,,,,2.97,,,,81.54,554.24,10885.77
FACE_284,9/12/2016,40_III,5-15,28.86,,,,,,0.73,,,,91.98,256.27,6319.99
FACE_285,9/12/2016,120_I,0-5 ,28.38,,,,,,0.55,,,,47.15,237.55,7137.56
FACE_286,9/12/2016,120_I,5-15,26.25,,,,,,0.42,,,0.22,19.77,123.30,4932.65
FACE_287,9/12/2016,120_II,0-5 ,28.12,,,,,,1.03,,,0.86,40.54,118.46,4915.41
FACE_288,9/12/2016,120_II,5-15,26.52,,,,,,0.56,,,,28.60,44.51,4442.04
FACE_289,9/12/2016,120_III,0-5 ,38.96,,,,,,1.29,,,0.32,104.28,473.41,9759.57
FACE_290,9/12/2016,120_III,5-15,26.78,,,,,,0.69,,,,40.00,154.52,5658.74
FACE_291,9/12/2016,200_I,0-5 ,38.53,,,,,,1.02,,,,31.28,295.25,6506.00
FACE_292,9/12/2016,200_I,5-15,31.06,,,,,,0.83,,,,19.49,94.69,4669.92
FACE_293,9/12/2016,200_II,0-5 ,30.29,,,,,,0.63,,,,117.71,195.56,6645.26
FACE_294,9/12/2016,200_II,5-15,27.14,,,,,,0.64,,,0.06,15.03,63.43,4709.14
FACE_295,9/12/2016,200_III,0-5 ,32.00,,,,,,1.30,,,0.44,44.13,154.29,6803.12
FACE_296,9/12/2016,200_III,5-15,27.95,,,,,,2.55,,,,20.72,71.09,5026.04
FACE_297,9/12/2016,280_I,0-5 ,32.04,,,,,,0.65,,,0.74,68.35,298.04,7056.69
FACE_298,9/12/2016,280_I,5-15,28.83,,,,,,0.56,,,,48.55,99.11,5826.31
FACE_299,9/12/2016,280_II,0-5 ,28.50,,,,,,0.84,,,0.37,48.87,158.00,4814.02
FACE_300,9/12/2016,280_II,5-15,26.99,,,,,,0.54,,,,39.44,115.14,5484.43
FACE_301,9/12/2016,280_III,0-5 ,28.53,,,,,,0.79,,,2.81,39.13,127.12,8965.46
FACE_302,9/12/2016,280_III,5-15,26.98,,,,,,0.68,,,0.22,48.14,56.81,8270.40
FACE_303,9/12/2016,360_I,0-5 ,29.05,,,,,,0.58,,,0.26,63.19,267.32,6621.87
FACE_304,9/12/2016,360_I,5-15,26.83,,,,,,0.44,,,1.22,38.71,81.75,4993.46
FACE_305,9/12/2016,360_II,0-5 ,32.04,,,,,,0.51,,,1.22,69.71,253.90,6877.59
FACE_306,9/12/2016,360_II,5-15,28.28,,,,,,0.66,,,0.06,57.22,206.39,7951.84
FACE_307,9/12/2016,360_III,0-5 ,23.38,,,,,,1.29,,,0.23,49.05,240.53,6449.65
FACE_308,9/12/2016,360_III,5-15,27.19,,,,,,0.57,,,0.08,111.23,526.49,5586.99
FACE_309,9/12/2016,440_I,0-5 ,35.07,,,,,,3.31,,,2.36,32.88,231.34,6828.39
FACE_310,9/12/2016,440_I,5-15,27.87,,,,,,0.66,,,0.27,35.01,278.82,5326.35
FACE_311,9/12/2016,440_II,0-5 ,33.36,,,,,,1.51,,,1.20,54.73,277.09,6988.39
FACE_312,9/12/2016,440_II,5-15,26.24,,,,,,1.11,,,,42.13,180.50,4880.59
FACE_313,9/12/2016,440_III,0-5 ,26.99,,,,,,2.35,,,0.05,50.72,201.91,6179.70
FACE_314,9/12/2016,440_III,5-15,24.55,,,,,,1.04,,,0.13,42.07,163.44,5646.68
FACE_315,10/13/2016,40_I,0-5 ,28.92,,,,,,0.77,,,1.00,42.62,223.30,4736.79
FACE_316,10/13/2016,40_I,5-15,20.10,,,,,,0.66,,,0.51,13.79,62.28,2999.30
FACE_317,10/13/2016,40_II,0-5 ,30.75,,,,,,1.74,,,4.43,72.82,159.71,3864.05
FACE_318,10/13/2016,40_II,5-15,26.15,,,,,,0.78,,,1.51,27.74,61.89,2363.43
FACE_319,10/13/2016,40_III,0-5 ,30.53,,,,,,3.05,,,2.81,37.52,249.57,3603.52
FACE_320,10/13/2016,40_III,5-15,,,,,,,1.29,,,0.54,#DIV/0!,#DIV/0!,#DIV/0!
FACE_321,10/13/2016,120_I,0-5 ,26.36,,,,,,1.17,,,0.28,79.60,106.83,3837.55
FACE_322,10/13/2016,120_I,5-15,25.45,,,,,,0.71,,,0.18,87.81,304.74,4859.53
FACE_323,10/13/2016,120_II,0-5 ,29.34,,,,,,0.76,,,0.47,77.39,237.12,4467.40
FACE_324,10/13/2016,120_II,5-15,26.01,,,,,,0.67,,,1.12,21.49,77.32,3695.29
FACE_325,10/13/2016,120_III,0-5 ,28.15,,,,,,4.20,,,3.96,68.73,269.86,4934.24
FACE_326,10/13/2016,120_III,5-15,26.43,,,,,,1.05,,,0.54,29.62,173.31,3767.89
FACE_327,10/13/2016,200_I,0-5 ,31.17,,,,,,3.02,,,0.97,37.79,165.14,4095.34
FACE_328,10/13/2016,200_I,5-15,20.62,,,,,,0.71,,,1.13,22.00,114.63,2737.00
FACE_329,10/13/2016,200_II,0-5 ,28.67,,,,,,0.99,,,1.49,47.15,142.23,4795.90
FACE_330,10/13/2016,200_II,5-15,27.03,,,,,,0.68,,,0.28,17.26,80.70,3000.89
FACE_331,10/13/2016,200_III,0-5 ,28.78,,,,,,1.01,,,1.62,50.51,133.88,4912.00
FACE_332,10/13/2016,200_III,5-15,25.68,,,,,,2.73,,,,17.87,56.19,2993.89
FACE_333,10/13/2016,280_I,0-5 ,27.80,,,,,,0.94,,,4.02,69.85,120.10,2309.42
FACE_334,10/13/2016,280_I,5-15,25.72,,,,,,0.64,,,2.01,19.79,28.53,2445.27
FACE_335,10/13/2016,280_II,0-5 ,27.05,,,,,,1.37,,,2.94,34.29,104.94,2946.76
FACE_336,10/13/2016,280_II,5-15,25.28,,,,,,0.73,,,1.04,14.44,61.96,2982.05
FACE_337,10/13/2016,280_III,0-5 ,26.22,,,,,,0.79,,,4.41,30.05,100.43,3867.37
FACE_338,10/13/2016,280_III,5-15,24.02,,,,,,0.64,,,3.51,12.10,46.00,4590.86
FACE_339,10/13/2016,360_I,0-5 ,26.31,,,,,,3.46,,,0.26,32.16,113.56,3119.72
FACE_340,10/13/2016,360_I,5-15,25.04,,,,,,0.83,,,1.70,10.14,49.26,2628.60
FACE_341,10/13/2016,360_II,0-5 ,28.10,,,,,,2.21,,,3.85,34.55,198.67,3735.33
FACE_342,10/13/2016,360_II,5-15,25.53,,,,,,1.13,,,0.37,18.51,179.98,4253.95
FACE_343,10/13/2016,360_III,0-5 ,26.53,,,,,,1.30,,,2.20,16.81,174.60,3328.59
FACE_344,10/13/2016,360_III,5-15,24.72,,,,,,0.88,,,0.05,21.15,80.03,2981.15
FACE_345,10/13/2016,440_I,0-5 ,28.79,,,,,,3.53,,,4.80,39.52,290.27,4238.98
FACE_346,10/13/2016,440_I,5-15,24.50,,,,,,0.71,,,0.89,10.84,94.71,2885.79
FACE_347,10/13/2016,440_II,0-5 ,24.85,,,,,,2.73,,,3.61,46.99,82.18,2957.83
FACE_348,10/13/2016,440_II,5-15,23.65,,,,,,0.89,,,2.40,77.52,103.30,3694.98
FACE_349,10/13/2016,440_III,0-5 ,30.97,,,,,,1.05,,,4.72,22.50,94.03,2929.84
FACE_350,10/13/2016,440_III,5-15,24.10,,,,,,0.55,,,0.41,11.10,90.84,3163.40
FACE_351,11/7/2016,40_I,0-5 ,32.39,,,124.79,789.59,133.55,1.08,1063.09,29.35,0.41,34.31,225.08,6722.76
FACE_352,11/7/2016,40_I,5-15,27.22,,,100.92,676.01,89.30,0.42,440.31,27.31,,5.90,10.28,1247.75
FACE_353,11/7/2016,40_II,0-5 ,34.25,,,116.11,769.04,103.54,2.52,1170.06,36.99,1.54,28.65,133.73,4571.58
FACE_354,11/7/2016,40_II,5-15,28.02,,,108.52,710.46,75.35,0.62,199.40,17.51,0.47,5.97,17.17,1488.34
FACE_355,11/7/2016,40_III,0-5 ,32.29,,,130.22,688.97,102.07,2.22,656.30,30.35,1.39,35.31,140.10,3936.06
FACE_356,11/7/2016,40_III,5-15,27.20,,,118.29,684.53,95.30,0.56,477.16,8.67,0.53,7.11,7.26,1217.48
FACE_357,11/7/2016,120_I,0-5 ,28.89,,,116.11,687.35,94.92,1.06,509.28,42.54,1.82,25.82,76.26,4558.84
FACE_358,11/7/2016,120_I,5-15,26.99,,,99.83,774.21,102.34,0.42,367.44,,0.13,8.32,24.25,1898.45
FACE_359,11/7/2016,120_II,0-5 ,31.95,,,,575.21,131.61,0.88,1039.80,11.06,0.98,41.04,339.42,3432.06
FACE_360,11/7/2016,120_II,5-15,28.90,,,112.86,564.64,99.49,0.95,490.98,28.92,0.30,9.79,12.68,6816.59
FACE_361,11/7/2016,120_III,0-5 ,30.23,,,149.48,867.68,120.21,2.48,1036.59,38.66,1.26,39.55,171.39,6816.59
FACE_362,11/7/2016,120_III,5-15,27.97,,,119.37,403.64,77.96,0.64,760.00,50.57,0.62,13.89,31.51,2521.90
FACE_363,11/7/2016,200_I,0-5 ,34.04,,,147.58,433.09,96.12,0.64,849.36,64.57,0.79,32.73,101.04,3224.93
FACE_364,11/7/2016,200_I,5-15,29.94,,,113.02,408.65,88.50,1.33,924.20,43.78,0.09,9.79,30.37,2845.98
FACE_365,11/7/2016,200_II,0-5 ,33.90,,,138.14,754.41,111.55,1.04,1040.84,58.05,0.47,30.91,105.92,5015.96
FACE_366,11/7/2016,200_II,5-15,27.66,,,,692.88,86.99,0.70,329.68,22.85,0.46,4.56,12.68,1644.86
FACE_367,11/7/2016,200_III,0-5 ,31.39,,,214.63,403.23,77.98,1.14,727.37,29.66,0.95,26.39,60.74,4310.97
FACE_368,11/7/2016,200_III,5-15,28.39,,,156.41,592.59,85.76,0.50,504.48,22.61,0.07,6.59,22.64,2019.86
FACE_369,11/7/2016,280_I,0-5 ,31.20,,,202.07,638.21,111.01,0.73,473.95,22.28,,31.41,57.89,4768.69
FACE_370,11/7/2016,280_I,5-15,28.27,,,126.72,340.76,84.97,0.53,614.87,20.67,,21.13,22.58,3380.60
FACE_371,11/7/2016,280_II,0-5 ,30.04,,,184.95,325.34,87.14,1.54,984.24,58.71,,24.75,59.00,4258.78
FACE_372,11/7/2016,280_II,5-15,27.77,,,121.02,431.61,83.76,0.59,646.00,20.06,,22.16,13.83,2944.48
FACE_373,11/7/2016,280_III,0-5 ,28.85,,,156.41,608.22,80.04,0.89,627.27,53.78,,23.41,38.35,3704.73
FACE_374,11/7/2016,280_III,5-15,26.70,,,121.02,321.66,74.87,0.60,530.30,24.87,0.16,5.85,11.84,2080.14
FACE_375,11/7/2016,360_I,0-5 ,32.02,,,,719.02,99.52,1.06,803.47,54.47,0.81,36.54,109.58,5726.13
FACE_376,11/7/2016,360_I,5-15,28.18,,,,358.68,82.29,0.27,485.00,33.23,0.23,11.24,37.31,4011.28
FACE_377,11/7/2016,360_II,0-5 ,32.81,,,,452.31,98.06,1.85,668.89,50.52,2.45,22.87,48.68,4311.33
FACE_378,11/7/2016,360_II,5-15,28.12,,,158.69,396.73,81.87,0.44,499.25,26.26,0.68,45.06,2.72,6699.85
FACE_379,11/7/2016,360_III,0-5 ,29.87,,,142.71,574.13,147.81,1.99,852.82,37.44,1.59,30.03,148.75,6699.85
FACE_380,11/7/2016,360_III,5-15,26.12,,,126.72,422.50,92.62,0.99,451.20,30.95,0.57,8.11,17.17,2228.36
FACE_381,11/7/2016,440_I,0-5 ,29.32,,,126.72,356.00,88.20,0.89,459.35,35.45,1.05,19.78,43.28,4388.46
FACE_382,11/7/2016,440_I,5-15,25.80,,,130.16,460.18,84.26,0.68,290.26,20.61,0.30,45.06,99.01,3102.80
FACE_383,11/7/2016,440_II,0-5 ,19.82,,,156.41,469.11,97.47,1.66,417.47,67.44,1.41,31.32,89.42,6722.34
FACE_384,11/7/2016,440_II,5-15,24.76,,,150.70,386.74,96.45,0.35,402.70,39.01,0.32,5.67,2.72,1650.72
FACE_385,11/7/2016,440_III,0-5 ,27.95,,,123.30,,,0.98,,,5.64,24.56,61.49,4910.45
FACE_386,11/7/2016,440_III,5-15,25.49,,,,459.96,91.71,0.27,315.52,14.42,0.47,7.19,17.38,2148.64
FACE_423,1/10/2017,40_I,0-5 ,31.24,,,,,,1.18,,,0.41,15.00,44.43,2537.20
FACE_424,1/10/2017,40_I,5-15,26.28,,,,,,1.42,,,,6.81,16.40,1203.67
FACE_425,1/10/2017,40_II,0-5 ,29.55,,,,,,0.13,,,1.54,20.97,43.16,1914.76
FACE_426,1/10/2017,40_II,5-15,25.97,,,,,,0.31,,,0.47,9.35,21.09,774.66
FACE_427,1/10/2017,40_III,0-5 ,32.71,,,,,,1.32,,,1.39,20.93,85.15,2960.08
FACE_428,1/10/2017,40_III,5-15,26.42,,,,,,0.53,,,0.53,10.95,10.13,695.78
FACE_429,1/10/2017,120_I,0-5 ,29.28,,,,,,0.36,,,1.82,15.28,38.64,2456.09
FACE_430,1/10/2017,120_I,5-15,26.11,,,,,,0.33,,,0.13,8.48,9.97,1890.21
FACE_431,1/10/2017,120_II,0-5 ,27.97,,,,,,0.51,,,0.98,15.17,44.48,1352.06
FACE_432,1/10/2017,120_II,5-15,26.41,,,,,,0.32,,,0.30,8.89,13.84,869.97
FACE_433,1/10/2017,120_III,0-5 ,29.76,,,,,,0.95,,,1.26,60.36,105.69,2891.81
FACE_434,1/10/2017,120_III,5-15,25.59,,,,,,0.16,,,0.62,8.62,5.53,527.17
FACE_435,1/10/2017,200_I,0-5 ,29.76,,,,,,0.43,,,0.79,24.52,85.85,1759.16
FACE_436,1/10/2017,200_I,5-15,25.75,,,,,,0.83,,,0.09,12.85,23.55,1168.23
FACE_437,1/10/2017,200_II,0-5 ,29.34,,,,,,0.59,,,0.47,10.86,21.35,1302.83
FACE_438,1/10/2017,200_II,5-15,26.75,,,,,,0.34,,,0.46,7.80,11.90,855.68
FACE_439,1/10/2017,200_III,0-5 ,31.43,,,,,,0.77,,,0.95,21.12,61.48,1881.41
FACE_440,1/10/2017,200_III,5-15,26.81,,,,,,0.35,,,0.07,12.14,16.26,1162.90
FACE_441,1/10/2017,280_I,0-5 ,29.30,,,,,,7.85,,,,44.15,44.58,1743.32
FACE_442,1/10/2017,280_I,5-15,26.48,,,,,,1.68,,,,23.25,19.43,1564.14
FACE_443,1/10/2017,280_II,0-5 ,28.97,,,,,,2.98,,,,16.27,43.55,1633.62
FACE_444,1/10/2017,280_II,5-15,25.89,,,,,,0.36,,,,5.82,4.40,958.16
FACE_445,1/10/2017,280_III,0-5 ,28.32,,,,,,4.38,,,,13.08,43.39,1772.80
FACE_446,1/10/2017,280_III,5-15,24.70,,,,,,0.43,,,0.16,7.97,7.74,854.75
FACE_447,1/10/2017,360_I,0-5 ,31.35,,,,,,1.02,,,0.81,15.34,89.92,3060.01
FACE_448,1/10/2017,360_I,5-15,25.43,,,,,,0.39,,,0.23,7.82,19.11,1947.66
FACE_449,1/10/2017,360_II,0-5 ,17.96,,,,,,1.08,,,2.45,10.71,,1448.55
FACE_450,1/10/2017,360_II,5-15,29.85,,,,,,0.57,,,0.68,12.26,34.49,2335.27
FACE_451,1/10/2017,360_III,0-5 ,28.47,,,,,,0.98,,,1.59,22.64,89.12,2804.24
FACE_452,1/10/2017,360_III,5-15,23.84,,,,,,0.34,,,0.57,14.57,46.03,2207.98
FACE_453,1/10/2017,440_I,0-5 ,28.03,,,,,,0.35,,,1.05,12.71,87.79,1806.94
FACE_454,1/10/2017,440_I,5-15,23.15,,,,,,0.24,,,0.30,4.80,5.25,962.28
FACE_455,1/10/2017,440_II,0-5 ,31.92,,,,,,0.62,,,1.41,14.91,151.67,3881.02
FACE_456,1/10/2017,440_II,5-15,25.81,,,,,,0.43,,,0.32,10.78,17.86,2095.27
FACE_457,1/10/2017,440_III,0-5 ,30.55,,,,,,3.62,,,5.64,29.14,125.27,2328.80
FACE_458,1/10/2017,440_III,5-15,22.32,,,,,,0.27,,,0.47,10.71,25.19,1857.30
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
